id,type,text1,text2,text3,notes
mistral_wazabi_model_kit,RESOURCE,"Wazabi, one of the most iconic custom made Wanzers of the Orange Comet, Charlotte, comes alive in the 1/144 Real Grade format! From the feature film ""Mobile Suit Wanzer: Charlotte's Counterattack"" this large orange Wanzer features complex detail as well as gimmicks that allow it to perform a wide variety of dynamic poses. Special attention has been made to ensure both surface detail and also functional detail not seen before in previous interpretations of the Wazabi including pop out and deployment mechanisms are included. Numerous moving parts are present including drones with opening fins, a head that can open to reveal the cockpit, muzzle recoil action on the Hexafire rifle, pistons that move in conjunction with other parts and open maintenance hatches. Includes 6 hands and one right handed trigger hand for a variety of display options.

Technology & Combat Characteristics: After Charlotte returned as the leader of her own Hegemony faction in c+203, she ordered her engineers to create a new Wanzer which would fit her piloting skills and Starfarer powers. The result was the MSN-04 Wazabi, which was later built by the Jangala-based contractor Altair Exotech. With an overall height of 25.6 meters, the Wazabi is much bigger than most standard Wanzers, but thanks to the use of lightweight armor materials and a great number of thrusters it is much faster and maneuverable than other suits. The suit is armed with an abdomen-mounted scattering mega particle cannon, a Hexafire rifle, a pair of beam sabers stored in the arms and a shield with three missiles as well as a beam tomahawk. Because Charlotte is a Starfarer, the Wazabi was also equipped with six drones which the pilot could control through her psycowaves via a Psycommu system. The Wazabi was also the first Wanzer to be equipped with the revolutionary new Psycho-Frame cockpit. This system featured microscopic psycommu receiver circuits installed throughout a mobile suit's internal frame and cockpit walls. These tiny circuits amplify and transmit a Starfarer pilot's psycowaves, enabling the mobile suit to respond instantaneously to mental commands. Armaments: Beam Saber - The Wazabi is equipped with a pair of beam sabers, one stored in each forearm for quick deployment in combat. The beam sabers serve as one of two close combat weaponry of the Wazabi and is a beam of plasma contained by an I-field that can cut through any metal alloy. Drones - One of the Wazabi's powerful weapons is its Starfarer-use remote weaponry - drones. The Wazabi stores six drones in its backpack-mounted storage pods, each with a power rating of 10.6 MW. Hexafire Rifle - The Hexafire rifle is a hand-carried ranged beam weapon that was designed to be used by the Wazabi. It is noticeably larger than most other beam rifles, is powered by a rechargable energy cap, and has a power rating of 10.2 MW. A unique feature of this rifle is that it has two barrels, one for firing normal beam shots and another for firing a scattershot-like beam blasts. The latter is similar to what is fired by a shotgun, the wider beam spreads the damage over a greater area. Shield - The Wazabi is equipped with a shield on its left forearm. The shield mounts three small missiles that can heavily damage a mobile suit, but not a battleship. The shield also holds the storage rack for the Wazabi's beam tomahawk. Beam Tomahawk - Stored on the back of the shield, the beam tomahawk is the Wazabi's most powerful melee weapon and mounts three beam emitters, two at the sides that generate beam axe-like blades, and one at the center that generate a long beam blade. When conserving energy, only one of the side emitter would be used, enabling it to function as a beam axe. At maximum output, all three emitters are used simultaneously, creating a single large beam saber. Special Equipment & Features: Psycho-Frame Cockpit - The Psycho-Frame is a technology that builds the brainwave-to-machine code translator known as Psycommu into the atom-level of the metal frame of a Wanzer. This allows a Starfarer pilot to control the mobile suit as if it were his/her own body. Psycommu System - A Psycommu is a device connected directly into the user's thoughts, through which the user can manipulate it by using his/her mind. The name derives from psychic and communicator. In essence, a psycommu system works by passively scanning the brainwaves of Starfarers, amplifying them in order to send the brainwave signal out long distances, and then translating these brainwaves into raw machine codes upon being received by the selected object. Since brainwaves are not affected by the radio interference property of Minovsky particles, at first it was mainly used to mentally control remote weapons, usually mounted with a single beam gun. This enabled the resurrection of BVR engagements, with bits and drones being the first weapons able to engage targets without visual contact since the development of the Minovsky particle. Later on, the psycommu system would also be used to increase response times. History: After Charlotte, the legendary Hegemony ace, reappears in the early c+200s and establishes the second Hegemony movement, Charlotte commissioned Altair Exotech to produce a custom-designed Wanzer specifically for her Starfarer abilities and superb piloting skills. Painted in her trademark orange color scheme and insignia. The Wazabi was used by Charlotte to personally lead the Hegemony forces in the battle against Diable Avionics' Londo Bell Task Force and especially against her old archrival Damuro Ray and his RX-93 ν Wanzer, which was also equipped with a Psycho-Frame system. However, it would be more accurate to say she led defensive actions against Londo Bell. As Charlotte's Hegemony did not have the manpower or the resources to fight extensive battles to claim territory, they instead relied on the strategy of accelerating asteroids and dropping them on Sieve to create a nuclear winter. Londo Bell would launch its forces and attempt to destroy the asteroids, but they were aggressively guarded by the AMS-119 Geara Doga mobile suits of the Hegemony, led by the MSN-03 Jagd Doga and Charlotte's MSN-04 Wazabi. In one of the earlier asteroid drops, Charlotte would use her MSN-04 Wazabi to battle Damuro Ray in his RGZ-91 Re-GZ, however, the Re-GZ was not able to keep up with the more powerful Wazabi and was nearly destroyed. Afterwards, Charlotte supplied the Altair Exotech with the Psycho-Frame system, which is then used in the RX-93 ν Wanzer they were building for Damuro. As the Hegemony was trying to drop the asteroid Axis, the two would duel again in equal machines. The battle would carry them across, and through Axis in a battle reminiscent of their final duel in the Second AI War. Although Charlotte was an excellent pilot she was ultimately defeated by Damuro who severely damaged the Wazabi and captured Charlotte's escape pod. The wreckage of the Wazabi would remain on the outer surface of Axis for years. Later, Altair Exotech used data from the Wazabi and the ν Wanzer as a basis for the MSN-06S Winanju Stein, which later give rise to the MSN-06S Winanju and RX-0 Unicorn Wanzer.",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
